date,Discharge (m3/s)
16-Jan,156.245
16-Feb,87.158
16-Mar,42.142
16-Apr,12.842
16-May,24.031
16-Jun,208.834
16-Jul,3715.263
16-Aug,6695.262
16-Sep,4010.25
16-Oct,1775.998
16-Nov,431.668
16-Dec,239.623
17-Jan,176.896
17-Feb,101.187
17-Mar,49.234
17-Apr,72.577
17-May,85.704
17-Jun,943.008
17-Jul,5723.168
17-Aug,5702.503
17-Sep,2750.707
17-Oct,1997.455
17-Nov,402.089
17-Dec,239.492
18-Jan,164.534
18-Feb,146.343
18-Mar,131.514
18-Apr,115.952
18-May,59.074
18-Jun,667.943
18-Jul,4104.116
18-Aug,4374.523
18-Sep,5256.138
18-Oct,598.418
18-Nov,288.817
18-Dec,295.555
19-Jan,512.737
19-Feb,207.672
19-Mar,630.35
19-Apr,143.2
19-May,284.585
19-Jun,321.353
19-Jul,2023.381
19-Aug,6094.249
19-Sep,5973.539
19-Oct,4709.413
19-Nov,950.57
19-Dec,469.192
20-Jan,203.267
20-Feb,132.245
20-Mar,330.705875
20-Apr,529.16675
20-May,926.0885
20-Jun,1587.687
20-Jul,3334.347
20-Aug,6728.37
20-Sep,4353.897
20-Oct,3111.324
20-Nov,674.88
20-Dec,354.338
